id,price,brand,name,ratingAverage,ratingCount,reviewCount,minPurchaseCount,recommendationRate,complaintRate,ratings
7997041,15050.60,LIEBHERR,LIEBHERR ICNf 5103,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7763386,14318.96,ELECTROLUX,ELECTROLUX 600 TwinTech LNT5ME36W1,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7951167,15764.17,GUZZANTI,GUZZANTI GZ 363,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6318109,11383.43,LIEBHERR,LIEBHERR CTPel 251,,0,0,50,,0.0,"[0, 0, 0, 0, 0]"
7745772,9051.45,SNAIGE,SNAIGE CD14SM-S3003C,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6703374,15590.00,AEG,AEG Mastery NoFrost SCB618F6TS,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7986278,17190.00,Concept,CONCEPT LK6560SS,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6228592,4405.55,GUZZANTI,Guzzanti GZ 28S,,0,0,50,,0.0097,"[0, 0, 0, 0, 0]"
7763390,14278.35,AEG,AEG 6000 TwinTech RCB632E6MW,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
5548854,4999.01,AMICA,AMICA VJ 852.3 AW,,0,0,200,,0.0122,"[0, 0, 0, 0, 0]"
7763384,13894.55,ELECTROLUX,ELECTROLUX 600 TwinTech LNT5ME32U1,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
5864843,22012.17,ELECTROLUX,ELECTROLUX LNT7ME34K1,5.0,2,1,20,1.0,0.0,"[0, 0, 0, 0, 2]"
7051714,14690.01,PHILCO,PHILCO PCD 3132 ENFX,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
7811730,13007.89,ETA,ETA 336290010CN,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6151518,44490.00,Bosch,BOSCH KAD93AIEP,,0,0,20,,0.037,"[0, 0, 0, 0, 0]"
6469020,10229.50,LIEBHERR,LIEBHERR T 1810,,0,0,50,,0.0,"[0, 0, 0, 0, 0]"
7747098,12590.00,LORD,LORD C19,,0,0,10,,0.0,"[0, 0, 0, 0, 0]"
6852418,12696.08,LORD,LORD R7,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
5608226,7789.00,GUZZANTI,GUZZANTI GZ 117A,2.7,7,3,200,0.43,0.0176,"[3, 0, 1, 2, 1]"
7815429,20000.26,HOOVER,HOOVER HHCR3818EWPL,,0,0,20,,0.0,"[0, 0, 0, 0, 0]"
7899033,12705.50,MORA,MORA VCN 1832,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
7234044,4290.00,GODDESS,GODDESS RSE084GW8SF,,0,0,50,,0.0,"[0, 0, 0, 0, 0]"
6675950,5040.98,GUZZANTI,GUZZANTI GZ 44GW,,0,0,50,,0.0484,"[0, 0, 0, 0, 0]"
8072741,9596.01,HISENSE,HISENSE RB390N4BW20,,0,0,0,,0.0,"[0, 0, 0, 0, 0]"
6864189,1859.66,Nedis,NEDIS KAFR120CRD ,2.0,2,1,100,0.0,0.0325,"[1, 0, 1, 0, 0]"
